Position Strand Score
-911484 + 9.0314
-911437 + 6.2974
-910693 + 5.5454
-910513 + 5.2536
-910482 + 5.1363
-910326 + 7.4929
-910160 + 8.7687
-909862 + 5.1363
-909778 + 6.5048
-908717 + 10.3071
-908558 + 5.5719
-908550 + 9.7016
-907492 + 5.5454
-907355 + 6.0957
-907187 + 7.6076
-905822 + 5.2827
-905158 + 7.0838
-904947 + 5.1363
-904072 + 5.3093
-903167 + 5.1628
-902911 + 6.5048
-902762 + 8.7687
-902586 + 9.3587
-902076 + 6.8212
-902056 + 6.4783
-901910 + 5.5454
-901594 + 6.8212
-900981 + 5.2536
-900641 + 5.9810
-900539 + 5.5719
-900007 + 5.5719
-899451 + 8.0432
-899266 + 7.4929
-899043 + 5.3093
-898556 + 7.4112
-898431 + 5.3093
-897960 + 7.6076
-897676 + 8.6223
-897393 + 5.3093
-896336 + 9.1778
-896172 + 5.3093
-895405 + 6.4783
-895315 + 5.5454
-894276 + 5.3529
-894069 + 5.3093
-893604 + 5.8883
-893474 + 5.3093
-892398 + 5.5719
-892383 + 5.4792
-891775 + 7.7249
-891283 + 6.1865
-891226 + 9.5551
-890566 + 7.2303
-890520 + 5.5454
-888331 + 5.3093
-887764 + 5.5719
-887746 + 9.0314
-887080 + 5.3093
-886875 + 5.1628
-886802 + 5.1363
-886184 + 5.5719
-885705 + 8.4258
-885178 + 6.8212
-885145 + 7.7249
-885007 + 9.7016
-884830 + 5.3093
-884786 + 5.7773
-883481 + 6.1509
-882808 + 5.5454
-882656 + 7.2303
-882649 + 6.2974
-882372 + 5.8883
-882348 + 6.1509
-880305 + 5.5719
-880074 + 7.0838
-880032 + 7.0838
-879374 + 8.7687
-877532 + 6.2974
-877478 + 6.8212
-877161 + 7.0838
-876736 + 9.9642
-875811 + 6.5048
-872200 + 6.6949
-871515 + 5.5454
-871454 + 6.2974
-871075 + 7.8358
-870657 + 7.2303
-870603 + 8.0167
-870297 + 8.7687
-869393 + 6.1865
-868934 + 5.2827
-865982 + 6.1509
-865307 + 8.4258
-864652 + 5.2827
-864313 + 5.1363
-862505 + 5.1363
-862356 + 5.2536
-861635 + 6.4783
-861557 + 6.5293
-861367 + 5.1565
-861342 + 8.0432
-860022 + 5.2536
-859891 + 5.3529
-858357 + 6.2974
-858135 + 6.4783
-857106 + 5.1628
-856947 + 6.0692
-855262 + 7.0838
-855234 + 5.1363
-852894 + 9.0314
-852282 + 5.5719
-851872 + 7.0838
-851232 + 5.1363
-850483 + 6.5048
-849512 + 5.5454
-849101 + 5.1565
-848998 + 5.3093
-848984 + 9.9642
-848465 + 6.8212
-848439 + 5.5454
-848257 + 6.9139
-847560 + 6.0957
-845792 + 5.5719
-845539 + 6.5048
-844797 + 5.5719
-844355 + 6.2974
-844009 + 5.3093
-842937 + 8.7687
-842014 + 8.7687
-841979 + 7.2303
-840930 + 8.7687
-838133 + 7.4929
-837379 + 5.2536
-836847 + 7.7249
-836495 + 5.7620
-836352 + 9.3587
-836348 + 7.8358
-835954 + 6.5293
-835898 + 6.8212
-835618 + 5.1363
-835383 + 8.0167
-835365 + 7.0838
-834318 + 5.5719
-834214 + 5.1363
-833754 + 5.5454
-833084 + 6.0957
-831523 + 6.2974
-831003 + 5.5719
-830891 + 7.0838
-830311 + 5.8883
-828632 + 5.1628
-828431 + 7.4929
-826975 + 7.0838
-826783 + 9.9642
-826415 + 5.5454
-825640 + 5.3529
-824934 + 5.3529
-824729 + 9.3587
-824066 + 7.7249
-822684 + 8.0432
-821865 + 5.5719
-821454 + 6.6747
-821354 + 5.3093
-821077 + 5.8883
-820994 + 7.7249
-820768 + 6.0692
-820550 + 7.0838
-819641 + 12.8447
-819513 + 6.5048
-818294 + 9.9642
-817256 + 7.7249
-816797 + 6.1865
-815269 + 5.1363
-814047 + 6.1509
-813716 + 5.2536
-812306 + 5.1628
-812144 + 6.1865
-812032 + 5.1628
-812027 + 6.0957
-811661 + 5.5454
-811413 + 5.1363
-810794 + 5.5719
-807066 + 5.9810
-806789 + 8.0167
-806407 + 7.0838
-805879 + 7.0838
-805756 + 7.7249
-805746 + 8.7687
-805431 + 7.7249
-803303 + 7.4929
-802973 + 5.5454
-802929 + 6.1509
-802780 + 7.7249
-802703 + 5.5454
-802671 + 9.0314
-800391 + 6.5048
-799789 + 5.5719
-799285 + 6.1509
-798495 + 5.3529
-797773 + 8.0167
-796467 + 11.5027
-796194 + 6.9139
-795244 + 6.2974
-794504 + 6.8212
-793098 + 5.5454
-792270 + 8.0167
-792227 + 5.5454
-791938 + 9.1778
-791374 + 7.7249
-791271 + 7.7249
-791164 + 7.7249
-791061 + 7.7249
-790954 + 7.7249
-790851 + 7.7249
-790567 + 6.5048
-790302 + 8.0432
-790227 + 14.3831
-790153 + 5.1628
-790110 + 5.2536
-789945 + 9.5551
-789411 + 5.7773
-788750 + 11.5027
-788303 + 5.1628
-787386 + 6.8212
-787067 + 5.5454
-786984 + 7.2568
-786748 + 5.5454
-786520 + 8.0167
-786497 + 7.0838
-786376 + 6.1509
-786359 + 7.7249
-786094 + 5.3093
-785809 + 5.3093
-785712 + 10.3071
-785254 + 8.7687
-785083 + 5.7773
-784514 + 7.7249
-784392 + 6.5048
-784147 + 7.0838
-783084 + 6.1865
-782895 + 5.5719
-782599 + 5.9810
-782380 + 5.5454
-782273 + 6.1509
-781541 + 6.9139
-781537 + 6.2974
-781026 + 5.2827
-780982 + 7.7249
-780480 + 8.2333
-780106 + 5.2536
-779894 + 5.8883
-779840 + 11.5027
-779819 + 5.1363
-777435 + 8.4524
-776510 + 5.3093
-776097 + 5.1628
-775967 + 6.4783
-775789 + 5.1628
-775549 + 5.2536
-774404 + 8.0432
-773542 + 11.5027
-772138 + 5.2827
-772042 + 6.1865
-771822 + 5.5454
-770751 + 9.9642
-769352 + 6.1865
-768899 + 7.7249
-768697 + 9.1778
-768589 + 6.1865
-768571 + 11.6491
-768566 + 5.5719
-766908 + 5.1628
-766420 + 5.3093
-766290 + 5.7773
-765711 + 8.0432
-763220 + 10.3071
-762674 + 8.4258
-761283 + 6.2974
-760987 + 5.9810
-760784 + 5.1628
-758673 + 5.3093
-758170 + 8.0432
-756932 + 10.1107
-755973 + 5.5719
-753608 + 6.8212
-753149 + 5.2827
-752817 + 5.1363
-752730 + 5.1363
-752611 + 5.5719
-749042 + 6.8212
-748932 + 9.3587
-747915 + 5.1363
-747716 + 7.2303
-747301 + 9.0314
-747207 + 5.1363
-746425 + 7.0838
-745957 + 5.1363
-745757 + 6.8212
-745709 + 6.1509
-744871 + 5.1363
-743864 + 6.2974
-743798 + 5.2827
-743525 + 5.5719
-743417 + 7.4929
-743132 + 10.1107
-742863 + 5.1363
-741809 + 8.4258
-741624 + 6.5048
-739891 + 6.1509
-739838 + 6.8212
-739123 + 5.5719
-738001 + 7.0838
-737907 + 9.1778
-737449 + 7.4929
-737235 + 5.5454
-735758 + 5.5454
-735616 + 5.5454
-735251 + 10.1107
-735236 + 6.6747
-733778 + 9.9642
-733199 + 9.3587
-732699 + 8.4258
-732664 + 6.4783
-731715 + 8.0167
-731393 + 7.2303
-730839 + 7.0838
-730653 + 5.5719
-730247 + 5.1628
-729382 + 6.1509
-729130 + 9.1778
-729073 + 6.1509
-724626 + 8.4258
-724603 + 9.0314
-724582 + 8.7687
-723968 + 6.1509
-723852 + 5.1363
-721616 + 6.1509
-721404 + 6.5048
-719905 + 5.1363
-719868 + 6.1865
-719049 + 5.2536
-719044 + 11.3062
-718946 + 5.2536
-718217 + 5.2827
-717498 + 5.3093
-716803 + 10.1107
-716749 + 6.0692
-716264 + 6.1509
-712676 + 9.0314
-710446 + 5.3529
-710184 + 6.1865
-709670 + 9.0314
-709595 + 9.0314
-709524 + 9.0314
-709453 + 9.0314
-708757 + 5.1628
-708382 + 7.7249
-708344 + 11.6491
-708285 + 10.8971
-708234 + 5.3093
-708226 + 10.8971
-708175 + 5.3093
-708167 + 10.8971
-708116 + 5.3093
-708108 + 10.8971
-708057 + 5.3093
-708049 + 10.8971
-707998 + 5.3093
-707990 + 10.8971
-707938 + 8.0167
-707551 + 5.2536
-707504 + 5.5719
-706636 + 6.6949
-706526 + 6.5048
-706054 + 5.3529
-704877 + 9.0314
-703324 + 5.5719
-702630 + 6.1865
-702533 + 6.8212
-701998 + 8.4524
-701570 + 6.6747
-701505 + 8.0167
-699768 + 5.1363
-699064 + 5.5719
-698310 + 8.0432
-698062 + 6.2858
-696475 + 5.3093
-695819 + 5.3093
-695742 + 6.2974
-694549 + 5.5719
-694482 + 10.1107
-693308 + 5.1628
-693154 + 5.5454
-692484 + 9.5551
-692227 + 5.1628
-691641 + 5.5454
-691398 + 8.4258
-691386 + 5.2536
-689702 + 5.3529
-687852 + 5.2827
-687612 + 6.8212
-687496 + 8.1632
-687422 + 6.8212
-687216 + 5.3093
-686393 + 8.0167
-686143 + 5.5719
-685695 + 5.5454
-685565 + 5.1628
-685144 + 7.0838
-684473 + 6.8212
-684419 + 6.5048
-682204 + 5.5719
-681596 + 6.1865
-680373 + 8.6223
-678527 + 6.0957
-678248 + 5.1363
-676896 + 5.5719
-676454 + 6.6747
-673300 + 11.9118
-672307 + 5.1363
-671375 + 7.0838
-671296 + 6.4783
-670412 + 5.5719
-670165 + 6.2974
-668752 + 5.5719
-668603 + 6.6747
-667761 + 5.2536
-667687 + 7.2303
-667548 + 5.3093
-667372 + 6.2974
-666946 + 5.9810
-665706 + 5.1363
-665537 + 6.8477
-665428 + 6.6747
-665208 + 5.2536
-664997 + 7.7249
-664737 + 5.2827
-664579 + 7.7249
-663363 + 10.3071
-663159 + 8.3596
-663022 + 5.1628
-662959 + 10.3071
-662926 + 10.3071
-662863 + 6.1509
-662796 + 8.3596
-662679 + 5.3093
-662529 + 8.7687
-662243 + 9.1778
-662173 + 11.9118
-662125 + 9.0314
-662076 + 11.9118
-662028 + 9.0314
-661979 + 11.9118
-661931 + 11.9118
-661882 + 11.9118
-661833 + 9.0314
-661784 + 11.9118
-661735 + 11.9118
-661686 + 11.9118
-661638 + 9.0314
-661589 + 11.9118
-661540 + 11.9118
-661491 + 11.9118
-661442 + 11.9118
-661393 + 11.9118
-661345 + 9.0314
-661296 + 11.9118
-661247 + 9.0314
-661198 + 11.9118
-661150 + 9.0314
-660791 + 9.9642
-660693 + 8.3596
-660618 + 8.0432
-660436 + 10.3071
-659975 + 14.3831
-659641 + 6.6747
-659479 + 6.0957
-659447 + 6.8212
-659384 + 8.6223
-659028 + 9.5551
-658932 + 6.8212
-658741 + 9.5551
-658320 + 5.9810
-658022 + 8.4258
-657821 + 5.3093
-657812 + 11.6491
-657287 + 7.0838
-657034 + 5.5454
-656103 + 8.7687
-656095 + 6.1865
-654629 + 7.7249
-654539 + 5.9810
-654434 + 6.8212
-654006 + 9.9642
-653009 + 6.4783
-652417 + 6.1865
-652268 + 11.9118
-652009 + 12.8447
-651980 + 8.0432
-648901 + 5.3093
-648252 + 8.6223
-648027 + 5.2536
-647778 + 5.1628
-647621 + 5.1363
-647617 + 6.1509
-647303 + 9.0314
-646695 + 9.0314
-646255 + 7.4929
-646198 + 9.0314
-646151 + 6.2974
-645633 + 8.0167
-645408 + 5.5454
-645228 + 5.2536
-645197 + 5.1363
-645041 + 7.4929
-644875 + 8.7687
-644578 + 5.1363
-644494 + 6.5048
-643433 + 10.3071
-643274 + 5.5719
-643266 + 9.7016
-642206 + 5.5454
-642068 + 6.0957
-641900 + 7.6076
-640677 + 5.2827
-640013 + 7.0838
-639802 + 5.1363
-638943 + 5.3093
-638038 + 5.1628
-637781 + 6.5048
-637632 + 8.7687
-637456 + 9.3587
-636946 + 6.8212
-636926 + 6.4783
-636780 + 5.5454
-636464 + 6.8212
-635847 + 5.2536
-635507 + 5.9810
-634873 + 5.5719
-634317 + 8.0432
-634132 + 7.4929
-633909 + 5.3093
-633418 + 7.4112
-633293 + 5.3093
-632811 + 7.6076
-632527 + 8.6223
-632243 + 5.3093
-631190 + 9.1778
-631026 + 5.3093
-630259 + 6.4783
-630169 + 5.5454
-629129 + 5.3529
-628969 + 6.8477
-628922 + 5.3093
-628460 + 5.8883
-628300 + 5.3093
-627224 + 5.5719
-627209 + 5.4792
-626601 + 7.7249
-626109 + 6.1865
-626052 + 9.5551
-625392 + 7.2303
-625346 + 5.5454
-623134 + 5.3093
-622574 + 5.5719
-622556 + 9.0314
-621890 + 5.3093
-621685 + 5.1628
-621545 + 6.9139
-620594 + 6.2974
-616983 + 6.6747
-616594 + 6.4783
-616587 + 5.5454
-615305 + 6.1865
-613524 + 6.2974
-613427 + 5.3093
-613190 + 6.2858
-613091 + 6.5048
-611912 + 8.3596
-611642 + 6.2974
-611257 + 6.5293
-611225 + 5.5719
-611148 + 5.5719
-610913 + 5.3093
-610890 + 6.5293
-610262 + 7.2568
-608955 + 5.5719
-607765 + 8.0167
-607747 + 6.5048
-607069 + 9.0314
-607038 + 7.0838
-606432 + 5.2536
-606250 + 9.0314
-604634 + 8.7687
-604410 + 11.5027
-603845 + 11.5027
-603278 + 6.5293
-602924 + 11.2400
-602154 + 5.2536
-601471 + 5.3093
-601342 + 5.3529
-599496 + 5.1628
-597999 + 8.7687
-597931 + 5.7773
-596417 + 8.0432
-595879 + 6.5048
-595594 + 9.9642
-594924 + 6.1509
-594688 + 5.9810
-594623 + 5.9810
-594473 + 7.7249
-593782 + 9.3587
-593603 + 8.4258
-593036 + 5.5719
-592588 + 9.9642
-592302 + 10.3734
-591780 + 5.3093
-591548 + 14.3831
-591423 + 5.7620
-591343 + 11.5027
-590915 + 7.0838
-590607 + 6.5293
-589335 + 5.2536
-588337 + 5.7773
-587102 + 8.2333
-586921 + 6.5048
-585826 + 6.5048
-585567 + 6.0957
-584717 + 5.5719
-582902 + 10.3071
-582510 + 6.1865
-581432 + 6.0957
-581069 + 5.2536
-580888 + 11.9118
-580664 + 6.1865
-580417 + 9.9642
-579928 + 5.7620
-579746 + 7.2303
-579713 + 7.0838
-578904 + 7.4112
-578784 + 5.3093
-578296 + 7.2568
-578225 + 5.3093
-577721 + 7.0838
-577314 + 9.0314
-577122 + 5.5454
-576888 + 9.9642
-576719 + 6.2858
-576348 + 8.2333
-576113 + 6.5048
-575688 + 8.7687
-575455 + 8.9496
-574419 + 6.1865
-573856 + 8.7687
-573659 + 5.3093
-573192 + 7.0838
-571578 + 5.5454
-571131 + 5.5719
-570790 + 6.1865
-570049 + 5.5719
-569911 + 7.4929
-569538 + 5.3093
-569164 + 5.3093
-568842 + 6.8212
-568207 + 6.8477
-567744 + 8.0167
-567390 + 7.2303
-567266 + 5.3093
-566535 + 8.7687
-565748 + 6.8212
-565405 + 5.5719
-564866 + 5.2536
-564861 + 8.4524
-564732 + 5.7773
-564534 + 6.6747
-563659 + 8.4258
-563556 + 6.5048
-563215 + 5.5719
-563205 + 8.4524
-563176 + 7.4929
-563070 + 8.7687
-562819 + 5.2536
-562403 + 5.2536
-562055 + 9.3587
-562051 + 6.2974
-561777 + 6.6949
-561725 + 9.0314
-558369 + 7.7249
-557497 + 5.3093
-556945 + 5.1363
-555315 + 6.2974
-554909 + 6.2974
-554736 + 11.9118
-554499 + 7.4267
-554386 + 5.2536
-554303 + 7.7249
-554038 + 5.2536
-553732 + 5.2536
-553727 + 6.5048
-551624 + 5.5719
-551218 + 5.1363
-551176 + 9.9642
-551087 + 7.8358
-550825 + 5.3529
-550769 + 10.3734
-550616 + 7.0838
-550356 + 5.5719
-549162 + 7.0838
-548586 + 5.5719
-547021 + 5.3093
-546892 + 5.5719
-546566 + 5.7773
-546480 + 5.2536
-546467 + 7.0838
-543651 + 5.2536
-541527 + 7.4929
-541299 + 5.7773
-539553 + 5.5719
-539424 + 8.3596
-539152 + 6.5293
-538803 + 7.4929
-537699 + 11.5027
-537670 + 7.7249
-537311 + 5.1363
-537276 + 10.7162
-535348 + 8.7687
-535033 + 9.9642
-533811 + 5.3093
-533235 + 5.5719
-532474 + 5.5719
-530458 + 7.7249
-528981 + 5.1363
-528618 + 9.0314
-528414 + 11.5027
-527592 + 5.5719
-527207 + 6.6747
-526678 + 9.0314
-525141 + 5.5719
-524452 + 11.9118
-524307 + 5.5719
-523124 + 5.5719
-522129 + 5.7773
-521981 + 5.1628
-521624 + 5.2536
-521132 + 7.2568
-521090 + 6.8477
-521076 + 11.9118
-519706 + 6.1865
-519437 + 5.5719
-519204 + 7.4929
-519137 + 5.5719
-518524 + 5.5719
-518395 + 9.0314
-518224 + 6.1509
-518072 + 5.7620
-517971 + 5.7620
-517854 + 6.0957
-516779 + 5.7773
-516382 + 5.5719
-515325 + 6.5048
-514004 + 5.2536
-513923 + 7.7249
-513039 + 6.2974
-512372 + 7.7249
-511864 + 6.4783
-511193 + 11.9118
-510928 + 5.5719
-510669 + 5.7773
-509889 + 9.1778
-509566 + 5.5719
-509543 + 7.7249
-507824 + 7.7249
-504118 + 6.6747
-502918 + 6.1865
-502654 + 5.3093
-502368 + 5.9810
-502094 + 5.7773
-502053 + 5.2536
-501327 + 9.1778
-500017 + 5.3529
-499893 + 7.7249
-499875 + 8.0432
-499768 + 11.9118
-499759 + 12.4356
-499468 + 6.8477
-499167 + 8.0432
-498715 + 5.1628
-498415 + 6.8212
-497901 + 6.0957
-497834 + 9.1778
-497501 + 5.7773
-496518 + 6.5048
-496159 + 5.1628
-496092 + 6.4783
-496010 + 5.1363
-495573 + 5.1628
-494463 + 9.5551
-494420 + 5.8883
-494378 + 8.3596
-494370 + 7.0838
-494042 + 7.7249
-493271 + 5.5719
-492966 + 8.0432
-492018 + 5.4792
-490806 + 9.0314
-490094 + 8.7687
-489764 + 6.1865
-489599 + 8.4524
-489364 + 5.1628
-489344 + 6.1865
-489282 + 9.1778
-489058 + 7.0838
-488462 + 7.4929
-488256 + 5.5719
-487737 + 12.8447
-487330 + 5.7773
-486394 + 8.0432
-486082 + 5.7620
-486066 + 6.5293
-485753 + 8.7687
-485393 + 9.0314
-484426 + 9.9642
-484182 + 5.5719
-483881 + 5.7620
-482525 + 9.1778
-481929 + 8.0432
-480105 + 6.5293
-479984 + 9.9642
-478695 + 9.9642
-478095 + 5.3093
-477759 + 5.3093
-477466 + 10.8971
-477381 + 7.0838
-475102 + 9.0314
-474758 + 11.2400
-474461 + 5.5719
-473933 + 5.2536
-473428 + 5.5719
-473312 + 5.5719
-473151 + 8.0432
-473099 + 5.2536
-472605 + 11.5027
-471802 + 7.7249
-470827 + 5.2536
-469131 + 14.3831
-468794 + 7.7249
-467973 + 5.7773
-467727 + 8.6223
-467254 + 5.7773
-466467 + 6.0957
-466235 + 6.6949
-466067 + 5.3093
-465419 + 11.9118
-465006 + 7.2568
-464818 + 7.7249
-464685 + 6.1865
-464641 + 8.0432
-464080 + 14.3831
-463396 + 6.5293
-463320 + 7.7249
-463026 + 7.0838
-462973 + 5.7773
-462286 + 14.3831
-462097 + 5.1628
-461871 + 7.7249
-461866 + 5.2536
-461861 + 6.5048
-461784 + 7.7249
-461138 + 8.4524
-460488 + 5.7773
-456225 + 5.1628
-456134 + 5.5719
-454770 + 5.3093
-454676 + 6.8477
-454609 + 7.8358
-453329 + 5.1628
-453005 + 7.2568
-451584 + 5.2536
-451471 + 11.6491
-451438 + 6.5048
-451196 + 5.9810
-450533 + 6.0692
-450154 + 5.5719
-449955 + 7.7249
-449461 + 5.5719
-448949 + 6.6949
-447851 + 5.3093
-447747 + 5.8883
-447207 + 7.7249
-446644 + 5.2536
-446390 + 5.2536
-446094 + 12.8447
-445107 + 6.2858
-444456 + 6.5048
-444164 + 5.2536
-443667 + 5.1628
-442903 + 8.0432
-442849 + 9.0314
-442186 + 9.9642
-442160 + 6.2974
-441370 + 5.5719
-441335 + 9.5551
-440821 + 5.5454
-440775 + 7.4929
-439111 + 9.0314
-437604 + 9.0314
-436749 + 5.5719
-436617 + 5.2536
-435273 + 6.5048
-435013 + 5.1565
-430728 + 6.1865
-430519 + 6.2974
-428910 + 8.7687
-428775 + 6.0957
-428753 + 5.7184
-428696 + 5.3529
-428041 + 7.2568
-427464 + 6.5048
-427406 + 8.4524
-427001 + 7.0838
-426994 + 5.1363
-426874 + 6.0692
-426625 + 5.2536
-425374 + 7.8358
-424800 + 10.7162
-424768 + 6.8477
-423189 + 5.3529
-422398 + 7.7249
-422334 + 11.6491
-421944 + 9.7016
-420909 + 5.3093
-419222 + 7.7249
-418424 + 5.3093
-418156 + 8.7687
-417977 + 7.2568
-417580 + 6.0692
-417067 + 5.5719
-416409 + 5.3529
-415934 + 7.7249
-415779 + 5.7773
-415707 + 7.0838
-415217 + 7.7249
-415032 + 6.2974
-414563 + 7.7249
-414470 + 5.5719
-414218 + 5.5719
-413988 + 5.9810
-413870 + 6.6747
-413112 + 7.7249
-412672 + 7.0838
-412378 + 5.3529
-412325 + 6.1509
-412269 + 7.0838
-412043 + 6.5293
-410426 + 5.5454
-409800 + 6.1865
-409640 + 7.7249
-409111 + 5.5719
-408143 + 5.7773
-407855 + 5.5719
-407482 + 8.0167
-407184 + 8.0167
-407106 + 9.5551
-406413 + 7.7249
-406224 + 7.7249
-405823 + 9.0314
-404994 + 9.1778
-404960 + 5.5719
-403187 + 6.1865
-402374 + 5.3093
-401919 + 5.3529
-399735 + 6.6747
-398935 + 11.2400
-398831 + 14.3831
-398717 + 5.2536
-398307 + 5.5719
-398084 + 5.2536
-398047 + 6.2974
-397522 + 9.1778
-397255 + 10.7162
-395338 + 5.5719
-395326 + 13.1875
-395321 + 8.0432
-395304 + 6.5048
-395229 + 5.5719
-395217 + 6.8477
-395207 + 9.0314
-395168 + 5.5719
-395156 + 5.5719
-394983 + 5.7620
-394966 + 6.5048
-394293 + 9.9642
-390081 + 6.5293
-390034 + 6.5293
-389590 + 5.8883
-389335 + 6.5048
-386751 + 5.7620
-386689 + 6.0692
-386477 + 5.5719
-385921 + 9.9642
-385880 + 6.2974
-385650 + 5.5719
-384992 + 5.5719
-384705 + 11.6491
-384385 + 6.0957
-384313 + 6.0957
-383962 + 6.5048
-382986 + 5.1628
-382658 + 7.7249
-382056 + 6.5293
-380051 + 8.7687
-379961 + 5.7773
-378429 + 6.8212
-377797 + 5.3093
-377777 + 6.1509
-377710 + 5.2827
-377416 + 10.3071
-377132 + 11.6491
-377082 + 6.5293
-376178 + 6.5293
-375592 + 6.0957
-375071 + 5.2536
-373876 + 8.7687
-373741 + 5.2536
-373628 + 5.1363
-373483 + 6.5048
-372874 + 8.0167
-372630 + 5.7773
-372412 + 8.0432
-372051 + 5.2536
-370989 + 9.9642
-369094 + 8.0432
-368047 + 5.3093
-367612 + 6.8212
-366931 + 5.9810
-366308 + 6.8212
-365308 + 7.7249
-365262 + 5.7773
-365086 + 7.7249
-363216 + 5.5719
-363146 + 5.2536
-361395 + 6.2974
-360860 + 5.2536
-360517 + 5.2536
-360035 + 9.0314
-359598 + 5.7773
-359271 + 7.2303
-358786 + 5.5719
-358297 + 5.7773
-357798 + 6.5293
-357666 + 8.0432
-357363 + 5.5719
-357286 + 8.7687
-356797 + 6.6747
-356785 + 8.7687
-355528 + 5.1628
-354718 + 5.5454
-354441 + 5.5719
-353682 + 5.5719
-353390 + 5.5454
-353151 + 5.3093
-352861 + 10.7162
-352812 + 6.8212
-352167 + 5.5454
-351829 + 6.6747
-351777 + 5.5719
-351660 + 7.7249
-346871 + 5.5719
-344250 + 5.2536
-344236 + 11.9118
-344099 + 5.7773
-343405 + 7.2303
-342825 + 5.3093
-342710 + 5.5719
-342356 + 5.5719
-342073 + 5.2536
-341988 + 5.8883
-341390 + 5.3529
-341368 + 6.8212
-341254 + 7.0838
-341207 + 7.7249
-340854 + 6.6747
-340687 + 11.6491
-340579 + 8.4524
-340393 + 6.8477
-340222 + 6.8477
-339941 + 5.3093
-339673 + 6.5293
-338434 + 6.1865
-337724 + 5.5719
-336836 + 6.5293
-336647 + 5.2536
-336397 + 9.0314
-334923 + 7.7249
-334822 + 5.5719
-334760 + 7.7249
-334535 + 5.2536
-334247 + 6.5293
-333626 + 5.2536
-333048 + 8.7687
-332993 + 5.5719
-331551 + 6.4783
-331433 + 6.5048
-330793 + 11.6491
-329515 + 5.1628
-329490 + 6.5048
-329105 + 11.2400
-328877 + 6.1509
-328009 + 5.3093
-327044 + 5.2536
-326934 + 6.2974
-325827 + 5.7773
-324226 + 5.5719
-323607 + 9.0314
-323267 + 6.5048
-323010 + 7.7249
-321554 + 5.3093
-321449 + 6.1865
-321194 + 5.2536
-321014 + 6.5048
-319980 + 6.5048
-319815 + 7.2568
